"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25031_001E","Estimate!!Median gross rent!!Total"
"B25031_001M","Margin of Error!!Median gross rent!!Total"
"B25031_002E","Estimate!!Median gross rent!!Total!!No bedroom"
"B25031_002M","Margin of Error!!Median gross rent!!Total!!No bedroom"
"B25031_003E","Estimate!!Median gross rent!!Total!!1 bedroom"
"B25031_003M","Margin of Error!!Median gross rent!!Total!!1 bedroom"
"B25031_004E","Estimate!!Median gross rent!!Total!!2 bedrooms"
"B25031_004M","Margin of Error!!Median gross rent!!Total!!2 bedrooms"
"B25031_005E","Estimate!!Median gross rent!!Total!!3 bedrooms"
"B25031_005M","Margin of Error!!Median gross rent!!Total!!3 bedrooms"
"B25031_006E","Estimate!!Median gross rent!!Total!!4 bedrooms"
"B25031_006M","Margin of Error!!Median gross rent!!Total!!4 bedrooms"
"B25031_007E","Estimate!!Median gross rent!!Total!!5 or more bedrooms"
"B25031_007M","Margin of Error!!Median gross rent!!Total!!5 or more bedrooms"
